feature_type,left_unit_id,right_unit_id,vehicle_family,tau
edge,41,57.0,big,1.0114031205605367
start,41,,big,1.0114031205605367
start,79,,small,1.0114031205605367
edge,19,30.0,big,0.8547948730163846
edge,38,32.0,big,0.8547948730163846
edge,77,16.0,big,0.8547948730163846
start,77,,big,0.8547948730163846
edge,75,119.0,big,0.8057867613845665
edge,76,115.0,big,0.8057867613845665
edge,5,46.0,small,0.7697537563799713
edge,15,140.0,big,0.7697537563799713
edge,29,18.0,big,0.7697537563799713
edge,92,15.0,big,0.7697537563799713
edge,93,142.0,big,0.7697537563799713
edge,94,141.0,big,0.7697537563799713
start,29,,big,0.7697537563799713
start,80,,small,0.7697537563799713
start,92,,big,0.7697537563799713
start,109,,small,0.7697537563799713
edge,1,69.0,big,0.7534291033599262
edge,4,14.0,big,0.7534291033599262
edge,6,111.0,big,0.7534291033599262
edge,9,50.0,small,0.7534291033599262
edge,12,116.0,small,0.7534291033599262
edge,13,64.0,big,0.7534291033599262
edge,25,8.0,big,0.7534291033599262
edge,27,33.0,big,0.7534291033599262
edge,30,44.0,big,0.7534291033599262
edge,37,166.0,big,0.7534291033599262
edge,39,173.0,big,0.7534291033599262
edge,40,162.0,big,0.7534291033599262
edge,47,127.0,big,0.7534291033599262
edge,48,174.0,small,0.7534291033599262
edge,49,48.0,small,0.7534291033599262
edge,50,3.0,small,0.7534291033599262
edge,61,102.0,big,0.7534291033599262
edge,63,66.0,big,0.7534291033599262
edge,65,117.0,big,0.7534291033599262
edge,69,31.0,big,0.7534291033599262
edge,73,124.0,big,0.7534291033599262
edge,85,67.0,small,0.7534291033599262
edge,108,42.0,small,0.7534291033599262
edge,110,118.0,big,0.7534291033599262
edge,111,0.0,big,0.7534291033599262
edge,113,17.0,big,0.7534291033599262
edge,133,43.0,big,0.7534291033599262
edge,138,7.0,big,0.7534291033599262
edge,165,9.0,small,0.7534291033599262
edge,167,72.0,big,0.7534291033599262
edge,170,45.0,big,0.7534291033599262
