route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization
1,ev_1250,ev,1,"49,48,174",0->97->95->75->0,normal->normal->mandatory_split,232,11:52,646.2,18:46,553.215179,400.0,127.831961,25.383218,0.0,0.0,0.0,0.0,0.0,77.946318,59.58475,77.946318,190.865871,0.0,0,0,0,0.0,1142.0705,3.71071,0.913656,0.436554
2,ev_1250,ev,2,62,0->10->0,mandatory_split,690,19:30,825.5,21:46,476.833179,400.0,64.104197,12.728983,0.0,0.0,0.0,0.0,0.0,39.087925,29.354503,39.087925,98.277298,41.902298,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193
3,ev_1250,ev,3,68,0->28->0,mandatory_split,681,19:21,842.0,22:02,495.888426,400.0,80.002553,15.885873,0.0,0.0,0.0,0.0,0.0,48.782045,36.602146,48.782045,122.603813,57.104312,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995
4,ev_1250,ev,4,74,0->39->0,mandatory_split,300,13:00,623.0,18:23,552.340047,400.0,127.101812,25.238235,0.0,0.0,0.0,0.0,0.0,77.501105,58.737112,77.501105,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679
5,ev_1250,ev,5,78,0->42->0,mandatory_split,110,09:50,347.7,13:48,498.070768,400.0,81.823346,16.247422,0.0,0.0,0.0,0.0,0.0,49.892284,38.048731,49.892284,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052
6,ev_1250,ev,6,86,0->44->0,mandatory_split,469,15:49,663.6,19:04,472.6741,400.0,60.634154,12.039946,0.0,0.0,0.0,0.0,0.0,36.972045,28.30561,36.972045,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607
7,ev_1250,ev,7,87,0->44->0,mandatory_split,469,15:49,663.6,19:04,472.673477,400.0,60.633634,12.039843,0.0,0.0,0.0,0.0,0.0,36.971728,28.305368,36.971728,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.998627,0.335187
8,ev_1250,ev,8,88,0->44->0,mandatory_split,469,15:49,663.6,19:04,472.672902,400.0,60.633154,12.039748,0.0,0.0,0.0,0.0,0.0,36.971435,28.305145,36.971435,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.998574,0.373981
9,ev_1250,ev,9,107,0->52->0,mandatory_split,391,14:31,696.8,19:37,539.761759,400.0,116.607374,23.154385,0.0,0.0,0.0,0.0,0.0,71.102057,54.029056,71.102057,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272
10,ev_1250,ev,10,141,0->61->0,mandatory_split,136,10:16,352.5,13:52,489.340867,400.0,74.539731,14.801136,0.0,0.0,0.0,0.0,0.0,45.451056,34.747805,45.451056,113.846992,0.0,0,0,0,0.0,1249.7546,3.981786,0.999804,0.468445
11,ev_1250,ev,11,154,0->65->0,mandatory_split,420,15:00,635.7,18:36,467.996852,400.0,56.731787,11.265065,0.0,0.0,0.0,0.0,0.0,34.592553,26.716014,34.592553,86.874535,0.0,0,0,0,0.0,1249.7897,2.12534,0.999832,0.25004
12,ev_1250,ev,12,164,0->71->0,mandatory_split,675,19:15,865.9,22:26,516.851208,400.0,97.492423,19.358785,0.0,0.0,0.0,0.0,0.0,59.446599,44.595601,59.446599,149.402283,74.701141,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293
13,ev_1250,ev,13,"165,9,50,3",0->71->19->98->5->0,mandatory_split->normal->normal->normal,526,16:46,906.9,23:07,660.341222,400.0,136.707558,27.14562,0.076508,96.411538,0.229523,115.693845,0.0,83.358267,63.153519,83.358267,202.066835,80.115194,2,1,2,94.246314,1215.7077,4.07054,0.972566,0.478887
14,ev_1250,ev,14,168,0->73->0,mandatory_split,305,13:05,495.7,16:16,513.996404,400.0,95.110575,18.885829,0.0,0.0,0.0,0.0,0.0,57.994253,43.567634,57.994253,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415
15,ev_1250,ev,15,169,0->73->0,mandatory_split,305,13:05,495.7,16:16,513.99298,400.0,95.107719,18.885261,0.0,0.0,0.0,0.0,0.0,57.992511,43.566332,57.992511,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395
16,ev_3000,ev,1,"13,64",0->29->27->0,normal->mandatory_split,473,15:53,835.8,21:56,616.31976,400.0,144.686153,28.729906,0.0,42.903701,0.0,51.484441,0.0,88.223264,66.800819,88.223264,224.172138,51.460402,0,1,1,51.484441,2672.9149,6.37755,0.890972,0.42517
17,ev_3000,ev,2,"18,92",0->35->46->0,normal->mandatory_split,5,08:05,350.9,13:51,543.691237,400.0,119.885854,23.805383,0.0,0.0,0.0,0.0,0.0,73.10113,55.711615,73.10113,177.546052,0.0,0,0,0,0.0,2936.1485,8.35913,0.978716,0.557275
18,ev_3000,ev,3,"37,166",0->84->71->0,normal->mandatory_split,395,14:35,795.7,21:16,568.907169,400.0,127.609835,25.339112,15.958222,0.0,47.874665,0.0,0.0,77.810875,59.261051,77.810875,191.644542,14.470641,0,1,0,0.0,2975.7619,7.94462,0.991921,0.529641
19,ev_3000,ev,4,"38,77",0->85->42->0,normal->mandatory_split,100,09:40,347.5,13:48,493.728599,400.0,78.200545,15.528053,0.0,0.0,0.0,0.0,0.0,47.683259,36.310299,47.683259,121.804951,0.0,0,0,0,0.0,2905.8613,6.88345,0.96862,0.458897
20,ev_3000,ev,5,"40,162",0->87->70->0,normal->mandatory_split,77,09:17,437.2,15:17,590.762794,400.0,147.071823,29.203622,0.0,14.487349,0.0,17.384819,0.0,89.677941,67.923581,89.677941,227.88348,0.0,0,0,1,17.384819,2874.2584,9.20018,0.958086,0.613345
21,ev_3000,ev,6,"65,117",0->27->54->0,mandatory_split->mandatory_split,434,15:14,776.2,20:56,545.30488,400.0,121.232164,24.072716,0.0,0.0,0.0,0.0,0.0,73.922051,56.338207,73.922051,188.781202,0.0,0,0,0,0.0,2934.3253,6.68654,0.978108,0.445769
22,ev_3000,ev,7,"75,119",0->39->54->0,mandatory_split->mandatory_split,324,13:24,715.9,19:56,593.031241,400.0,131.109861,26.034101,35.887278,0.0,107.661835,0.0,0.0,79.945037,60.071901,79.945037,201.353383,0.0,0,0,0,0.0,2800.7752,6.30797,0.933592,0.420531
23,ev_3000,ev,8,"76,115",0->39->54->0,mandatory_split->mandatory_split,324,13:24,715.9,19:56,594.356794,400.0,132.215809,26.253706,35.887278,0.0,107.661835,0.0,0.0,80.619396,60.575913,80.619396,201.353383,0.0,0,0,0,0.0,2975.6813,8.17269,0.991894,0.544846
24,ev_3000,ev,9,"110,118",0->52->54->0,mandatory_split->mandatory_split,391,14:31,732.9,20:13,557.369061,400.0,131.297667,26.071394,0.0,0.0,0.0,0.0,0.0,80.059553,60.738666,80.059553,203.60775,0.0,0,0,0,0.0,2780.0489,8.48199,0.926683,0.565466
25,ev_3000,ev,10,163,0->70->0,mandatory_split,61,09:01,408.2,14:48,588.647569,400.0,157.394252,31.253316,0.0,0.0,0.0,0.0,0.0,95.972105,72.496038,95.972105,240.481201,0.0,0,0,0,0.0,2980.6836,7.63028,0.993561,0.508685
26,fuel_1500,fuel,1,2,0->4->0,normal,709,19:49,815.7,21:36,596.951371,400.0,161.760493,35.190878,0.0,0.0,0.0,0.0,21.256307,0.0,21.256307,28.234714,70.058342,32.946176,0,1,0,0.0,1443.5621,3.490997,0.962375,0.323241
27,fuel_1500,fuel,2,5,0->11->0,normal,122,10:02,344.5,13:44,724.068402,400.0,266.164506,57.903896,0.0,0.0,0.0,0.0,34.975625,0.0,34.975625,45.804861,114.766396,0.0,0,0,0,0.0,1325.5301,4.36316,0.883687,0.403996
28,fuel_1500,fuel,3,10,0->24->0,normal,467,15:47,664.0,19:04,664.861079,400.0,217.53623,47.32485,0.0,0.0,0.0,0.0,28.585576,0.0,28.585576,37.342896,94.182564,0.0,0,0,0,0.0,1262.1673,2.95599,0.841445,0.273703
29,fuel_1500,fuel,4,"12,116",0->26->54->0,normal->mandatory_split,419,14:59,722.3,20:02,910.321255,400.0,419.138071,91.183184,0.0,0.0,0.0,0.0,55.077276,0.0,55.077276,72.563689,180.611376,0.0,0,0,0,0.0,1486.868593,3.30905,0.991246,0.306394
