route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization
1,ev_1250,ev,1,"3,165,9,50",0->5->71->19->98->0,normal->mandatory_split->normal->normal,639,18:39,980.6,24:21,671.415014,400.0,134.262233,26.660059,0.0,110.492723,0.0,132.591267,0.0,81.867215,61.356092,81.867215,223.885189,148.054607,2,1,2,83.174719,1215.7077,4.07054,0.972566,0.478887
2,ev_1250,ev,2,"41,49,48,174",0->88->97->95->75->0,normal->normal->normal->mandatory_split,171,10:51,658.1,18:58,551.735639,400.0,122.897648,24.403426,3.05593,1.378634,9.16779,1.654361,0.0,74.93759,57.674424,74.93759,184.538444,0.0,0,0,1,1.654361,1221.6712,4.24819,0.977337,0.499787
3,ev_1250,ev,3,62,0->10->0,mandatory_split,644,18:44,796.9,21:17,476.592059,400.0,63.903023,12.689036,0.0,0.0,0.0,0.0,0.0,38.965258,29.38455,38.965258,98.277298,15.576492,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193
4,ev_1250,ev,4,68,0->28->0,mandatory_split,630,18:30,810.0,21:30,495.566667,400.0,79.7341,15.832567,0.0,0.0,0.0,0.0,0.0,48.618354,36.598986,48.618354,122.603813,27.678997,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995
5,ev_1250,ev,5,74,0->39->0,mandatory_split,300,13:00,655.1,18:55,551.652813,400.0,126.528433,25.124381,0.0,0.0,0.0,0.0,0.0,77.151483,58.606366,77.151483,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679
6,ev_1250,ev,6,78,0->42->0,mandatory_split,100,09:40,357.4,13:57,497.801945,400.0,81.599059,16.202886,0.0,0.0,0.0,0.0,0.0,49.755524,38.068231,49.755524,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052
7,ev_1250,ev,7,86,0->44->0,mandatory_split,458,15:38,671.0,19:11,472.564649,400.0,60.542835,12.021814,0.0,0.0,0.0,0.0,0.0,36.916363,28.434818,36.916363,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607
8,ev_1250,ev,8,87,0->44->0,mandatory_split,458,15:38,671.0,19:11,472.564024,400.0,60.542314,12.02171,0.0,0.0,0.0,0.0,0.0,36.916045,28.434573,36.916045,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.998627,0.335187
9,ev_1250,ev,9,88,0->44->0,mandatory_split,458,15:38,671.0,19:11,472.563447,400.0,60.541832,12.021614,0.0,0.0,0.0,0.0,0.0,36.915751,28.434346,36.915751,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.998574,0.373981
10,ev_1250,ev,10,92,0->46->0,mandatory_split,103,09:43,362.0,14:02,501.85897,400.0,84.983954,16.875015,0.0,0.0,0.0,0.0,0.0,51.819484,39.617871,51.819484,130.396194,0.0,0,0,0,0.0,1243.5699,4.47477,0.994856,0.526444
11,ev_1250,ev,11,107,0->52->0,mandatory_split,377,14:17,710.5,19:50,539.231781,400.0,116.165198,23.066583,0.0,0.0,0.0,0.0,0.0,70.832438,53.980417,70.832438,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272
12,ev_1250,ev,12,154,0->65->0,mandatory_split,462,15:42,667.1,19:07,468.01352,400.0,56.745693,11.267826,0.0,0.0,0.0,0.0,0.0,34.601033,26.675824,34.601033,86.874535,0.0,0,0,0,0.0,1249.7897,2.12534,0.999832,0.25004
13,ev_1250,ev,13,164,0->71->0,mandatory_split,630,18:30,833.9,21:54,516.499203,400.0,97.198735,19.300468,0.0,0.0,0.0,0.0,0.0,59.267521,44.489595,59.267521,149.402283,49.655679,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293
14,ev_1250,ev,14,168,0->73->0,mandatory_split,265,12:25,513.6,16:34,513.529727,400.0,94.721213,18.808514,0.0,0.0,0.0,0.0,0.0,57.756837,43.822121,57.756837,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415
15,ev_1250,ev,15,169,0->73->0,mandatory_split,265,12:25,513.6,16:34,513.526325,400.0,94.718374,18.80795,0.0,0.0,0.0,0.0,0.0,57.755106,43.820815,57.755106,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395
16,ev_3000,ev,1,"13,64",0->29->27->0,normal->mandatory_split,461,15:41,853.6,22:14,634.64799,400.0,144.256494,28.64459,0.0,61.746906,0.0,74.096287,0.0,87.961277,66.831467,87.961277,224.172138,67.808468,0,1,1,74.096287,2672.9149,6.37755,0.890972,0.42517
17,ev_3000,ev,2,"18,141",0->35->61->0,normal->mandatory_split,0,08:00,370.1,14:10,559.601897,400.0,116.515595,23.136161,0.0,19.950142,0.0,23.94017,0.0,71.046094,54.366303,71.046094,172.062383,0.0,0,0,1,23.94017,2942.3332,7.866146,0.980778,0.52441
18,ev_3000,ev,3,"37,166",0->84->71->0,normal->mandatory_split,379,14:19,804.6,21:25,568.089162,400.0,127.54275,25.325791,15.220622,0.0,45.661865,0.0,0.0,77.769969,59.507643,77.769969,191.644542,22.683891,0,1,0,0.0,2975.7619,7.94462,0.991921,0.529641
19,ev_3000,ev,4,"40,162",0->87->70->0,normal->mandatory_split,62,09:02,479.4,15:59,596.931608,400.0,146.334216,29.057157,0.119451,21.420784,0.358353,25.704941,0.0,89.22818,67.957027,89.22818,227.88348,0.0,0,0,1,25.704941,2874.2584,9.20018,0.958086,0.613345
20,ev_3000,ev,5,"44,30",0->91->77->0,normal->normal,452,15:32,827.9,21:48,537.346983,400.0,108.577518,21.55992,7.209545,0.0,21.628634,0.0,0.0,66.205804,50.650982,66.205804,180.334055,44.165226,0,1,0,0.0,2038.7018,5.48784,0.679567,0.365856
21,ev_3000,ev,6,"65,117",0->27->54->0,mandatory_split->mandatory_split,417,14:57,794.2,21:14,545.096122,400.0,121.057991,24.038131,0.0,0.0,0.0,0.0,0.0,73.815848,56.596573,73.815848,188.781202,13.111953,0,1,0,0.0,2934.3253,6.68654,0.978108,0.445769
22,ev_3000,ev,7,"75,115",0->39->54->0,mandatory_split->mandatory_split,309,13:09,737.0,20:17,590.956005,400.0,129.964135,25.806598,35.185271,0.0,105.555814,0.0,0.0,79.246424,59.64778,79.246424,201.353383,0.0,0,0,0,0.0,2798.8642,6.92197,0.932955,0.461465
23,ev_3000,ev,8,"76,119",0->39->54->0,mandatory_split->mandatory_split,309,13:09,737.0,20:17,592.300182,400.0,131.085622,26.029288,35.185271,0.0,105.555814,0.0,0.0,79.930257,60.15905,79.930257,201.353383,0.0,0,0,0,0.0,2977.5923,7.55869,0.992531,0.503913
