generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,candidate_is_balanced_best,archive_injected_route_count,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,87797.364023,132.0,97.0,pass2,1,20,1,1,0
0,1,construct,construct,0.14,1.0,87896.04305,132.0,97.0,pass2,1,25,1,1,0
0,2,construct,construct,0.16,1.0,87746.001238,132.0,95.0,pass2,0,25,1,1,0
0,3,construct,construct,0.18,1.0,87487.916979,131.0,96.0,pass2,0,25,1,1,1
0,4,construct,construct,0.2,1.0,87754.427073,132.0,97.0,pass1,0,25,1,1,0
0,5,construct,construct,0.22,1.0,87925.394432,132.0,98.0,pass1,0,25,1,1,0
0,6,construct,construct,0.24,1.0,87766.017335,132.0,97.0,pass1,1,25,1,1,0
0,7,construct,construct,0.26,1.0,88061.459716,133.0,99.0,pass1,0,25,1,1,0
0,8,construct,construct,0.28,1.0,88037.619514,132.0,96.0,pass1,0,25,1,1,0
0,9,construct,construct,0.3,1.0,88061.459716,133.0,99.0,pass1,0,25,1,1,0
0,10,construct,construct,0.32,1.0,87652.610397,132.0,98.0,pass2,0,25,1,1,0
0,11,construct,construct,0.34,1.0,87806.95031,132.0,96.0,pass1,0,25,1,1,0
1,0,personal_best,cluster_remove,0.109502,0.955112,87797.364023,132.0,97.0,pass1,0,25,0,0,0
1,1,current,typed_route_merge_remove,0.155191,1.068717,87896.04305,132.0,97.0,pass1,0,25,0,0,0
1,2,current,cluster_remove,0.174007,1.063198,87746.001238,132.0,95.0,pass1,0,25,0,0,0
1,3,global_best_cost,worst_cost_remove,0.127935,0.796297,87487.916979,131.0,96.0,candidate,0,25,0,0,0
1,4,personal_best,typed_route_merge_remove,0.25,2.0,87754.427073,132.0,97.0,pass1,0,25,0,0,0
1,5,global_best_cost,cluster_remove,0.210327,0.958565,87487.916979,131.0,96.0,candidate,0,25,1,1,0
1,6,personal_best,worst_cost_remove,0.237134,0.987541,87766.017335,132.0,97.0,candidate,1,25,0,0,0
1,7,current,random_remove,0.25,1.441431,,,,,0,0,0,0,0
1,8,current,worst_cost_remove,0.25,1.012568,88037.619514,132.0,96.0,candidate,0,25,0,0,0
1,9,global_best_balanced,typed_route_merge_remove,0.25,0.98278,87766.017335,132.0,97.0,pass1,1,25,1,1,0
1,10,personal_best,worst_cost_remove,0.25,1.009074,87652.610397,132.0,98.0,candidate,0,25,0,0,0
1,11,personal_best,random_remove,0.25,0.994331,87627.786146,131.0,96.0,pass1,0,25,1,1,0
2,0,global_best_cost,late_route_remove,0.101832,0.923592,87543.818997,131.0,96.0,pass1,1,25,1,1,0
2,1,current,typed_route_merge_remove,0.162912,1.105434,87896.04305,132.0,97.0,pass1,0,23,0,0,0
2,2,current,cluster_remove,0.17324,1.059635,87746.001238,132.0,95.0,candidate,0,23,0,0,0
2,3,current,late_route_remove,0.120883,0.772103,87836.06153,133.0,97.0,pass1,1,23,0,0,0
2,4,current,typed_route_merge_remove,0.247439,1.977719,87754.427073,132.0,97.0,pass1,0,23,0,0,0
2,5,current,random_remove,0.21883,0.994893,87487.916979,131.0,96.0,pass1,0,23,0,0,0
2,6,personal_best,late_route_remove,0.236643,0.985422,87963.274496,133.0,97.0,pass2,0,23,0,0,0
