route_key,vehicle_type,unit_ids,unit_count,best_cost,current_cover_cost,current_cover_route_count,current_cost_saving,single_stop_flag,big_route_flag,mixed_big_route_flag,piggyback_big_route_flag,promotion_like_big_route_flag,blocking_big_flexible_route_flag,blocking_big_flexible_unit_count,avg_time_window_overlap_min,candidate_score,coupled_candidate_score,archive_support_count,pheromone_support_score,candidate_family,pool_pass,roles,selected_in_pass1,selected_in_pass2,selected_in_pass3,selected_in_final,selected_in_cost_best,selected_in_balanced_best
ev_1250|0,ev_1250,0,1,451.165441,828.636086,1,377.470645,1,0,0,0,0,0,0,0.0,377.470645,383.015823,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|0,13",ev_1250,"0,13",2,542.482855,1604.693217,2,1062.210362,0,0,0,0,0,0,0,56.0,1070.029978,1075.575156,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,17",ev_1250,"0,17",2,474.485574,1449.741701,2,975.256127,0,0,0,0,0,0,0,0.0,973.417684,978.962861,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|0,61",ev_1250,"0,61",2,481.565959,1621.603304,2,1140.037345,0,0,0,0,0,0,0,0.0,1138.735814,1144.280991,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|1,ev_1250,1,1,495.206953,929.343459,1,434.136506,1,0,0,0,0,0,0,0.0,434.136506,439.681683,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|1,3",ev_1250,"1,3",2,565.464065,1435.00814,2,869.544075,0,0,0,0,0,0,0,0.0,868.436892,913.982069,2,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,48",ev_1250,"1,48",2,535.662934,1482.157938,2,946.495004,0,0,0,0,0,0,0,48.0,956.335583,961.88076,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,61",ev_1250,"1,61",2,574.705707,1722.310677,2,1147.604969,0,0,0,0,0,0,0,0.0,1147.040391,1152.585568,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|1,69",ev_1250,"1,69",2,520.775256,929.343459,1,408.568203,0,0,0,0,0,0,0,0.0,407.167439,412.712617,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|104,ev_1250,104,1,462.52701,621.199769,1,158.672758,1,0,0,0,0,0,0,0.0,158.672758,160.356534,0,0.23426,support,base,singleton,0,0,0,0,0,0
ev_1250|105,ev_1250,105,1,460.719986,540.61114,1,79.891154,1,0,0,0,0,0,0,0.0,79.891154,81.803642,0,0.270056,support,base,singleton,0,0,0,0,0,0
ev_1250|106,ev_1250,106,1,462.505256,625.343348,1,162.838092,1,0,0,0,0,0,0,0.0,162.838092,166.017557,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|107,ev_1250,107,1,539.37169,539.37169,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.179464,4,0.488,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|12,ev_1250,12,1,505.773685,910.803981,1,405.030296,1,0,0,0,0,0,0,0.0,405.030296,408.192955,0,0.484878,support,base,singleton,0,0,0,0,0,0
"ev_1250|12,13",ev_1250,"12,13",2,551.410853,1686.861112,2,1135.450259,0,0,0,0,0,0,0,0.0,1129.205788,1133.648073,0,0.742439,flex_small,base,cluster_flex_small,0,0,0,0,0,0
"ev_1250|12,44",ev_1250,"12,44",2,496.877807,1858.434559,2,1361.556752,0,0,0,0,0,0,0,32.0,1368.99843,1374.543607,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|12,9",ev_1250,"12,9",2,563.297932,1503.444121,2,940.146188,0,0,0,0,0,0,0,0.0,937.475157,943.020334,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|128,ev_1250,128,1,446.944029,566.286834,1,119.342805,1,0,0,0,0,0,0,0.0,119.342805,122.522269,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|13,ev_1250,13,1,475.316226,776.057131,1,300.740905,1,0,0,0,0,0,0,0.0,300.740905,306.286083,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|130,ev_1250,130,1,446.94184,566.279467,1,119.337627,1,0,0,0,0,0,0,0.0,119.337627,122.517091,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|131,ev_1250,131,1,446.933013,566.249755,1,119.316742,1,0,0,0,0,0,0,0.0,119.316742,122.496206,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|14,ev_1250,14,1,423.236033,611.57437,1,188.338337,1,0,0,0,0,0,0,0.0,188.338337,193.883515,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|14,7",ev_1250,"14,7",2,460.092791,1242.811999,2,782.719208,0,0,0,0,0,0,0,52.0,793.719501,799.264679,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|140,ev_1250,140,1,489.134888,788.48279,1,299.347902,1,0,0,0,0,0,0,0.0,299.347902,301.942678,0,0.383127,support,base,singleton,0,0,0,0,0,0
ev_1250|141,ev_1250,141,1,489.152301,489.152301,1,0.0,1,0,0,0,0,0,0,0.0,0.0,82.56137,4,0.377364,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|15,ev_1250,15,1,527.532439,672.398049,1,144.86561,1,0,0,0,0,0,0,0.0,144.86561,150.410787,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|15,44",ev_1250,"15,44",2,550.059673,1620.028627,2,1069.968954,0,0,0,0,0,0,0,0.0,1068.956323,1074.5015,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|15,46",ev_1250,"15,46",2,532.395272,1564.113305,2,1031.718033,0,0,0,0,0,0,0,66.0,1047.045952,1052.59113,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|154,ev_1250,154,1,468.025075,644.866329,1,176.841254,1,0,0,0,0,0,0,0.0,176.841254,180.020718,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|156,ev_1250,156,1,468.018465,644.843545,1,176.82508,1,0,0,0,0,0,0,0.0,176.82508,180.004545,0,0.488,support,base,singleton,0,0,0,0,0,0
ev_1250|16,ev_1250,16,1,482.566413,762.620389,1,280.053976,1,0,0,0,0,0,0,0.0,280.053976,285.599153,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|16,40",ev_1250,"16,40",2,526.822401,1654.335644,2,1127.513244,0,0,0,0,0,0,0,53.0,1138.197341,1143.742518,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|16,93",ev_1250,"16,93",2,556.584275,1654.335644,2,1097.751369,0,0,0,0,0,0,0,59.0,1109.458626,1115.003803,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|164,ev_1250,164,1,516.621638,516.621638,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.179464,4,0.488,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|165,ev_1250,165,1,505.534971,505.664682,1,0.12971,1,0,0,0,0,0,0,0.0,0.12971,1.813486,0,0.23426,support,base,singleton,0,0,0,0,0,0
"ev_1250|165,50",ev_1250,"165,50",2,551.805659,1117.066329,2,565.26067,0,0,0,0,0,0,0,82.0,582.206163,587.75134,0,1.0,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|165,9",ev_1250,"165,9",2,556.253971,1098.304821,2,542.05085,0,0,0,0,0,0,0,69.0,556.816431,562.361609,0,1.0,flex_small,base,"cluster_flex_small,flex_small",0,0,0,0,0,0
"ev_1250|165,9,50",ev_1250,"165,9,50",3,583.169454,1709.706469,3,1126.537015,0,0,0,0,0,0,0,73.666667,1142.118635,1147.663813,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|165,9,67",ev_1250,"165,9,67",3,614.193693,1850.340539,3,1236.146846,0,0,0,0,0,0,0,66.0,1248.541433,1251.728995,0,0.489507,flex_small,base,cluster_flex_small,0,0,0,0,0,0
ev_1250|167,ev_1250,167,1,503.502006,672.398049,1,168.896043,1,0,0,0,0,0,0,0.0,168.896043,174.44122,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|167,165",ev_1250,"167,165",2,607.151524,1178.062731,2,570.911207,0,0,0,0,0,0,0,0.0,570.349019,575.894196,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
"ev_1250|167,43",ev_1250,"167,43",2,516.011442,1546.061436,2,1030.049994,0,0,0,0,0,0,0,27.0,1034.954494,1040.499671,0,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|168,ev_1250,168,1,513.543556,513.543556,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.179464,4,0.488,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|169,ev_1250,169,1,513.540153,513.540153,1,0.0,1,0,0,0,0,0,0,0.0,0.0,83.179464,4,0.488,seed_current,base,"current,seed,singleton",1,1,0,1,1,1
ev_1250|17,ev_1250,17,1,468.513858,621.105615,1,152.591757,1,0,0,0,0,0,0,0.0,152.591757,158.136934,0,1.0,support,base,singleton,0,0,0,0,0,0
ev_1250|174,ev_1250,174,1,503.836457,552.814479,1,48.978023,1,0,0,0,0,0,0,0.0,48.978023,54.5232,0,1.0,support,base,singleton,0,0,0,0,0,0
"ev_1250|174,48",ev_1250,"174,48",2,551.346865,552.814479,1,1.467615,0,0,0,0,0,0,0,69.0,15.619131,61.164308,2,1.0,flex_small,base,flex_small,0,0,0,0,0,0
ev_1250|19,ev_1250,19,1,487.537605,486.06046,1,-1.477145,1,0,0,0,0,0,0,0.0,-1.477145,41.905261,2,0.52623,support,base,singleton,0,0,0,0,0,0
