feature_type,left_unit_id,right_unit_id,vehicle_family,tau
edge,77,118.0,big,0.7763931603965958
edge,78,122.0,big,0.7763931603965958
edge,11,168.0,big,0.768293596277521
edge,18,95.0,big,0.768293596277521
edge,33,13.0,small,0.768293596277521
edge,44,65.0,big,0.768293596277521
edge,46,96.0,big,0.768293596277521
edge,74,63.0,big,0.768293596277521
edge,96,15.0,big,0.768293596277521
start,18,,big,0.768293596277521
start,33,,small,0.768293596277521
start,46,,big,0.768293596277521
start,68,,small,0.768293596277521
edge,3,31.0,big,0.7491705049900577
edge,4,41.0,big,0.7491705049900577
edge,5,35.0,big,0.7491705049900577
edge,7,1.0,big,0.7491705049900577
edge,9,105.0,big,0.7491705049900577
edge,12,119.0,small,0.7491705049900577
edge,14,176.0,big,0.7491705049900577
edge,15,48.0,big,0.7491705049900577
edge,19,71.0,small,0.7491705049900577
edge,24,49.0,big,0.7491705049900577
edge,25,8.0,big,0.7491705049900577
edge,30,50.0,big,0.7491705049900577
edge,34,0.0,small,0.7491705049900577
edge,36,30.0,big,0.7491705049900577
edge,37,169.0,big,0.7491705049900577
edge,38,32.0,big,0.7491705049900577
edge,39,14.0,big,0.7491705049900577
edge,40,165.0,big,0.7491705049900577
edge,47,130.0,big,0.7491705049900577
edge,48,44.0,big,0.7491705049900577
edge,52,7.0,big,0.7491705049900577
edge,54,170.0,big,0.7491705049900577
edge,55,6.0,big,0.7491705049900577
edge,67,120.0,big,0.7491705049900577
edge,75,127.0,big,0.7491705049900577
edge,79,16.0,big,0.7491705049900577
edge,82,112.0,big,0.7491705049900577
edge,87,69.0,small,0.7491705049900577
edge,97,143.0,big,0.7491705049900577
edge,108,9.0,big,0.7491705049900577
edge,113,42.0,small,0.7491705049900577
edge,114,121.0,big,0.7491705049900577
edge,116,17.0,big,0.7491705049900577
edge,136,43.0,big,0.7491705049900577
edge,173,45.0,big,0.7491705049900577
edge,177,66.0,big,0.7491705049900577
start,2,,small,0.7491705049900577
start,3,,big,0.7491705049900577
start,4,,big,0.7491705049900577
start,5,,big,0.7491705049900577
start,10,,small,0.7491705049900577
start,11,,big,0.7491705049900577
start,12,,small,0.7491705049900577
start,19,,small,0.7491705049900577
start,20,,small,0.7491705049900577
start,21,,big,0.7491705049900577
start,22,,big,0.7491705049900577
start,23,,big,0.7491705049900577
start,24,,big,0.7491705049900577
start,25,,big,0.7491705049900577
start,26,,big,0.7491705049900577
start,27,,big,0.7491705049900577
start,28,,big,0.7491705049900577
start,29,,small,0.7491705049900577
start,34,,small,0.7491705049900577
start,36,,big,0.7491705049900577
start,37,,big,0.7491705049900577
start,38,,big,0.7491705049900577
start,39,,big,0.7491705049900577
start,40,,big,0.7491705049900577
start,47,,big,0.7491705049900577
start,51,,small,0.7491705049900577
start,52,,big,0.7491705049900577
start,53,,small,0.7491705049900577
start,54,,big,0.7491705049900577
start,55,,big,0.7491705049900577
start,56,,small,0.7491705049900577
start,57,,small,0.7491705049900577
start,58,,small,0.7491705049900577
start,59,,big,0.7491705049900577
start,60,,big,0.7491705049900577
start,61,,big,0.7491705049900577
start,62,,big,0.7491705049900577
start,64,,small,0.7491705049900577
start,67,,big,0.7491705049900577
start,70,,small,0.7491705049900577
start,72,,big,0.7491705049900577
start,73,,big,0.7491705049900577
start,74,,big,0.7491705049900577
start,75,,big,0.7491705049900577
start,76,,small,0.7491705049900577
start,77,,big,0.7491705049900577
start,78,,big,0.7491705049900577
start,79,,big,0.7491705049900577
start,80,,small,0.7491705049900577
start,81,,small,0.7491705049900577
start,82,,big,0.7491705049900577
start,83,,small,0.7491705049900577
start,84,,small,0.7491705049900577
start,85,,small,0.7491705049900577
start,86,,small,0.7491705049900577
start,87,,small,0.7491705049900577
start,88,,small,0.7491705049900577
start,89,,small,0.7491705049900577
start,90,,small,0.7491705049900577
start,91,,small,0.7491705049900577
start,92,,small,0.7491705049900577
start,93,,small,0.7491705049900577
start,94,,small,0.7491705049900577
start,97,,big,0.7491705049900577
start,98,,big,0.7491705049900577
start,99,,big,0.7491705049900577
start,100,,big,0.7491705049900577
start,101,,small,0.7491705049900577
start,102,,small,0.7491705049900577
start,103,,small,0.7491705049900577
start,104,,big,0.7491705049900577
start,106,,big,0.7491705049900577
start,107,,small,0.7491705049900577
start,108,,big,0.7491705049900577
start,109,,small,0.7491705049900577
start,110,,small,0.7491705049900577
start,111,,small,0.7491705049900577
start,113,,small,0.7491705049900577
start,114,,big,0.7491705049900577
start,115,,big,0.7491705049900577
start,116,,big,0.7491705049900577
start,117,,small,0.7491705049900577
start,123,,big,0.7491705049900577
start,124,,small,0.7491705049900577
start,125,,big,0.7491705049900577
start,126,,big,0.7491705049900577
start,128,,big,0.7491705049900577
start,129,,small,0.7491705049900577
start,131,,small,0.7491705049900577
start,132,,small,0.7491705049900577
start,133,,small,0.7491705049900577
start,134,,small,0.7491705049900577
start,135,,small,0.7491705049900577
start,136,,big,0.7491705049900577
start,137,,big,0.7491705049900577
start,138,,big,0.7491705049900577
start,139,,small,0.7491705049900577
start,140,,big,0.7491705049900577
start,141,,big,0.7491705049900577
start,142,,big,0.7491705049900577
start,144,,small,0.7491705049900577
start,145,,big,0.7491705049900577
start,146,,small,0.7491705049900577
start,147,,big,0.7491705049900577
start,148,,big,0.7491705049900577
start,149,,big,0.7491705049900577
start,150,,big,0.7491705049900577
start,151,,big,0.7491705049900577
start,152,,big,0.7491705049900577
start,153,,big,0.7491705049900577
start,154,,big,0.7491705049900577
start,155,,big,0.7491705049900577
start,156,,small,0.7491705049900577
start,157,,small,0.7491705049900577
start,158,,small,0.7491705049900577
start,159,,small,0.7491705049900577
start,160,,small,0.7491705049900577
start,161,,small,0.7491705049900577
start,162,,big,0.7491705049900577
start,163,,small,0.7491705049900577
start,164,,small,0.7491705049900577
start,166,,big,0.7491705049900577
start,167,,small,0.7491705049900577
start,171,,small,0.7491705049900577
start,172,,small,0.7491705049900577
start,173,,big,0.7491705049900577
start,174,,small,0.7491705049900577
start,175,,small,0.7491705049900577
start,177,,big,0.7491705049900577
edge,18,63.0,big,0.7033769087125366
edge,33,168.0,big,0.7033769087125366
edge,46,15.0,big,0.7033769087125366
edge,65,68.0,big,0.7033769087125366
edge,74,33.0,big,0.7033769087125366
edge,96,18.0,big,0.7033769087125366
edge,145,46.0,big,0.7033769087125366
start,13,,small,0.7033769087125366
start,65,,big,0.7033769087125366
start,95,,small,0.7033769087125366
start,96,,big,0.7033769087125366
edge,77,122.0,big,0.6952773445934618
edge,78,118.0,big,0.6952773445934618
