generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,candidate_is_balanced_best,archive_injected_route_count,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,90702.645375,133.0,95.0,pass2,0,20,1,1,0
0,1,construct,construct,0.14,1.0,90587.117329,134.0,95.0,pass1,0,30,1,1,0
0,2,construct,construct,0.16,1.0,90698.354045,134.0,95.0,pass2,0,26,1,1,0
0,3,construct,construct,0.18,1.0,90851.844833,133.0,96.0,pass2,0,26,1,1,0
0,4,construct,construct,0.2,1.0,90420.368919,133.0,93.0,pass2,1,26,1,1,0
0,5,construct,construct,0.22,1.0,90785.306745,133.0,92.0,pass2,0,28,1,1,0
0,6,construct,construct,0.24,1.0,90785.306745,133.0,92.0,pass2,0,28,1,1,0
0,7,construct,construct,0.26,1.0,90712.969613,133.0,93.0,pass2,0,28,1,1,0
1,0,global_best_balanced,typed_route_merge_remove,0.135653,1.070882,90420.368919,133.0,93.0,pass1,1,28,1,1,0
1,1,current,random_remove,0.107303,0.866712,,,,,0,0,0,0,0
1,2,global_best_balanced,cluster_remove,0.163828,1.016889,90723.049708,133.0,93.0,pass2,0,28,0,0,0
1,3,global_best_cost,mandatory_split_cluster_remove,0.175978,0.982557,90263.424857,133.0,94.0,pass1,0,28,1,1,1
1,4,current,late_route_remove,0.210722,1.048025,90463.01106,133.0,94.0,pass1,1,26,0,0,0
1,5,current,late_route_remove,0.19569,0.899104,90554.191234,134.0,94.0,pass1,0,26,1,1,0
1,6,personal_best,late_route_remove,0.185739,0.788681,90349.338943,133.0,92.0,pass1,0,26,1,1,0
1,7,global_best_balanced,random_remove,0.234202,0.893271,90676.189862,133.0,93.0,pass2,0,26,1,1,0
2,0,global_best_balanced,late_route_remove,0.243441,1.716101,90557.268842,133.0,95.0,pass1,1,26,0,0,0
2,1,global_best_balanced,worst_cost_remove,0.100741,0.842184,90557.268842,133.0,95.0,candidate,1,26,1,1,0
2,2,global_best_balanced,random_remove,0.172586,1.056607,90525.152666,133.0,95.0,pass1,0,26,1,1,0
2,3,personal_best,typed_route_merge_remove,0.186788,1.030144,90263.424857,133.0,94.0,pass1,0,26,0,0,0
2,4,global_best_cost,worst_cost_remove,0.197928,0.990975,90263.424857,133.0,94.0,candidate,0,26,1,1,0
2,5,global_best_cost,cluster_remove,0.207297,0.945939,90263.424857,133.0,94.0,candidate,0,26,1,1,0
2,6,current,typed_route_merge_remove,0.165082,0.720532,90349.338943,133.0,92.0,pass1,0,26,0,0,0
2,7,global_best_balanced,late_route_remove,0.223113,0.850967,90557.268842,133.0,95.0,pass1,1,26,1,1,0
3,0,global_best_balanced,cluster_remove,0.245887,1.734567,90567.62245,133.0,93.0,pass1,0,26,0,0,0
3,1,current,worst_cost_remove,0.132315,0.966939,90557.268842,133.0,95.0,candidate,1,26,0,0,0
3,2,personal_best,late_route_remove,0.173169,1.059306,90542.954107,134.0,96.0,pass1,0,26,0,0,0
3,3,global_best_cost,late_route_remove,0.189398,1.041975,90492.852008,133.0,93.0,pass2,0,26,0,0,0
3,4,current,random_remove,0.218479,1.084205,,,,,0,0,0,0,0
3,5,global_best_cost,late_route_remove,0.213418,0.971615,90177.593479,133.0,95.0,pass2,0,26,1,1,1
3,6,current,typed_route_merge_remove,0.160202,0.705311,90253.209843,133.0,92.0,pass1,0,28,1,1,0
3,7,current,worst_cost_remove,0.230804,0.880087,90557.268842,133.0,95.0,candidate,1,27,0,0,0
