generation,particle_id,source_mode,operator_name,destroy_ratio,construction_temperature,candidate_total_cost,candidate_route_count,candidate_single_stop_route_count,candidate_label,candidate_is_balanced_best,archive_injected_route_count,accepted_current,accepted_pbest,accepted_gbest
0,0,construct,construct,0.12,1.0,88071.677305,133.0,98.0,pass2,0,20,1,1,0
0,1,construct,construct,0.14,1.0,88071.677305,133.0,98.0,pass1,0,27,1,1,0
0,2,construct,construct,0.16,1.0,87994.716383,132.0,95.0,pass1,0,27,1,1,0
0,3,construct,construct,0.18,1.0,87980.911494,132.0,98.0,pass1,0,24,1,1,0
0,4,construct,construct,0.2,1.0,88025.35715,133.0,96.0,pass1,1,26,1,1,0
0,5,construct,construct,0.22,1.0,88037.60418,132.0,98.0,pass1,0,26,1,1,0
0,6,construct,construct,0.24,1.0,87945.070321,133.0,98.0,pass2,1,26,1,1,0
0,7,construct,construct,0.26,1.0,87945.070321,133.0,98.0,pass1,1,27,1,1,0
0,8,construct,construct,0.28,1.0,87786.388618,132.0,99.0,pass1,0,27,1,1,0
0,9,construct,construct,0.3,1.0,87887.99936,132.0,99.0,pass2,0,28,1,1,0
0,10,construct,construct,0.32,1.0,87644.003104,132.0,96.0,pass1,0,28,1,1,0
0,11,construct,construct,0.34,1.0,87864.007222,132.0,98.0,pass2,0,27,1,1,0
1,0,current,typed_route_merge_remove,0.112892,0.96938,87563.880645,132.0,97.0,pass1,1,27,1,1,1
1,1,global_best_cost,cluster_remove,0.114696,0.895201,87563.880645,132.0,97.0,candidate,1,27,1,1,0
1,2,current,late_route_remove,0.120203,0.840203,87434.967826,132.0,97.0,pass1,1,27,1,1,1
1,3,current,typed_route_merge_remove,0.210924,1.144869,87807.441329,133.0,98.0,pass1,1,27,1,1,0
1,4,current,worst_cost_remove,0.172125,0.885188,87516.89286,132.0,96.0,pass1,0,27,1,1,0
1,5,global_best_cost,typed_route_merge_remove,0.210292,0.958417,87434.967826,132.0,97.0,pass1,0,27,1,1,0
1,6,personal_best,typed_route_merge_remove,0.228419,0.950594,87563.880645,132.0,97.0,pass1,0,27,1,1,0
1,7,current,worst_cost_remove,0.236783,0.903415,87563.880645,132.0,97.0,pass1,0,27,1,1,0
1,8,personal_best,random_remove,0.25,1.115078,,,,,0,0,0,0,0
1,9,current,mandatory_split_cluster_remove,0.25,1.0195,87807.441329,133.0,98.0,pass1,1,27,1,1,0
1,10,personal_best,worst_cost_remove,0.25,1.009254,87506.374112,132.0,96.0,pass1,0,27,1,1,0
1,11,global_best_cost,mandatory_split_cluster_remove,0.25,2.0,87434.967826,132.0,97.0,pass1,0,21,1,1,0
2,0,global_best_balanced,late_route_remove,0.098534,0.91036,87410.360574,132.0,96.0,pass1,1,21,1,1,1
2,1,global_best_cost,mandatory_split_cluster_remove,0.11473,0.895336,87410.360574,132.0,96.0,pass1,1,25,1,1,0
2,2,personal_best,typed_route_merge_remove,0.107489,0.794745,87434.967826,132.0,97.0,pass1,0,25,0,0,0
2,3,current,mandatory_split_cluster_remove,0.25,2.0,87626.056587,133.0,98.0,pass1,0,25,1,1,0
2,4,current,cluster_remove,0.146408,0.790995,87399.929742,132.0,96.0,pass1,0,25,1,1,1
2,5,personal_best,cluster_remove,0.219217,0.996581,87434.967826,132.0,97.0,candidate,0,27,0,0,0
2,6,global_best_cost,random_remove,0.216761,0.903326,87399.929742,132.0,96.0,pass1,0,27,1,1,0
2,7,current,mandatory_split_cluster_remove,0.243002,0.928331,87446.917526,132.0,97.0,pass1,0,22,1,1,0
2,8,personal_best,worst_cost_remove,0.126462,0.649499,87669.425499,132.0,99.0,pass1,0,22,1,1,0
2,9,global_best_balanced,mandatory_split_cluster_remove,0.25,1.027613,87537.746313,132.0,95.0,pass2,0,22,1,1,0
2,10,global_best_balanced,mandatory_split_cluster_remove,0.236595,0.951767,87537.746313,132.0,95.0,pass2,0,22,0,0,0
2,11,global_best_balanced,cluster_remove,0.220183,1.7554,87337.040754,132.0,97.0,candidate,0,22,1,1,1
3,0,global_best_cost,late_route_remove,0.102022,0.924358,87278.422947,132.0,98.0,pass1,0,26,1,1,1
