route_id,vehicle_type,power_type,vehicle_instance,unit_sequence,customer_sequence,unit_type_sequence,departure_min,departure_hhmm,return_min,return_hhmm,route_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_wait_min,total_late_min,fuel_l,electricity_kwh,reference_fuel_l,reference_electricity_kwh,route_distance_km,after_hours_travel_km,after_hours_service_count,after_hours_return_flag,late_positive_stop_count,max_late_min,load_used_kg,load_used_m3,weight_utilization,volume_utilization
1,ev_1250,ev,1,"49,48,174",0->97->95->75->0,normal->normal->mandatory_split,199,11:19,644.3,18:44,553.023171,400.0,127.671763,25.351408,0.0,0.0,0.0,0.0,0.0,77.848636,59.715646,77.848636,190.865871,0.0,0,0,0,0.0,1142.0705,3.71071,0.913656,0.436554
2,ev_1250,ev,2,62,0->10->0,mandatory_split,687,19:27,825.1,21:45,476.754878,400.0,64.038867,12.71601,0.0,0.0,0.0,0.0,0.0,39.04809,29.338572,39.04809,98.277298,41.561547,0,1,0,0.0,1246.3786,5.46714,0.997103,0.643193
3,ev_1250,ev,3,68,0->28->0,mandatory_split,679,19:19,843.1,22:03,495.773992,400.0,79.907077,15.866914,0.0,0.0,0.0,0.0,0.0,48.723828,36.573874,48.723828,122.603813,58.146064,0,1,0,0.0,1246.3795,3.16196,0.997104,0.371995
4,ev_1250,ev,4,74,0->39->0,mandatory_split,300,13:00,637.8,18:38,552.080571,400.0,126.885324,25.195247,0.0,0.0,0.0,0.0,0.0,77.3691,58.693083,77.3691,194.169357,0.0,0,0,0,0.0,1245.3641,2.86177,0.996291,0.336679
5,ev_1250,ev,5,78,0->42->0,mandatory_split,107,09:47,350.6,13:51,497.963338,400.0,81.733714,16.229624,0.0,0.0,0.0,0.0,0.0,49.83763,38.035249,49.83763,125.136368,0.0,0,0,0,0.0,1243.2998,2.40594,0.99464,0.283052
6,ev_1250,ev,6,86,0->44->0,mandatory_split,466,15:46,666.0,19:06,472.618797,400.0,60.588013,12.030784,0.0,0.0,0.0,0.0,0.0,36.94391,28.329565,36.94391,92.727798,0.0,0,0,0,0.0,1248.3566,2.90366,0.998685,0.341607
7,ev_1250,ev,7,87,0->44->0,mandatory_split,466,15:46,666.0,19:06,472.618173,400.0,60.587492,12.030681,0.0,0.0,0.0,0.0,0.0,36.943593,28.329323,36.943593,92.727798,0.0,0,0,0,0.0,1248.284,2.84909,0.998627,0.335187
8,ev_1250,ev,8,88,0->44->0,mandatory_split,466,15:46,666.0,19:06,472.617598,400.0,60.587012,12.030586,0.0,0.0,0.0,0.0,0.0,36.9433,28.329099,36.9433,92.727798,0.0,0,0,0,0.0,1248.217,3.17884,0.998574,0.373981
9,ev_1250,ev,9,107,0->52->0,mandatory_split,386,14:26,700.1,19:40,539.55094,400.0,116.431482,23.119459,0.0,0.0,0.0,0.0,0.0,70.994806,53.97498,70.994806,178.175552,0.0,0,0,0,0.0,1247.9146,2.84981,0.998332,0.335272
10,ev_1250,ev,10,141,0->61->0,mandatory_split,132,10:12,355.3,13:55,489.232863,400.0,74.44962,14.783243,0.0,0.0,0.0,0.0,0.0,45.39611,34.750722,45.39611,113.846992,0.0,0,0,0,0.0,1249.7546,3.981786,0.999804,0.468445
11,ev_1250,ev,11,154,0->65->0,mandatory_split,420,15:00,639.8,18:40,468.033139,400.0,56.762062,11.271077,0.0,0.0,0.0,0.0,0.0,34.611013,26.777347,34.611013,86.874535,0.0,0,0,0,0.0,1249.7897,2.12534,0.999832,0.25004
12,ev_1250,ev,12,164,0->71->0,mandatory_split,671,19:11,865.1,22:25,516.727424,400.0,97.389146,19.338278,0.0,0.0,0.0,0.0,0.0,59.383626,44.560846,59.383626,149.402283,74.701141,0,1,0,0.0,1247.3338,4.84749,0.997867,0.570293
13,ev_1250,ev,13,"165,9,50,3",0->71->19->98->5->0,mandatory_split->normal->normal->normal,521,16:41,909.3,23:09,664.052417,400.0,136.512876,27.106962,0.0,100.432578,0.0,120.519094,0.0,83.239559,63.084771,83.239559,202.066835,82.33883,2,1,2,96.658939,1215.7077,4.07054,0.972566,0.478887
14,ev_1250,ev,14,168,0->73->0,mandatory_split,301,13:01,500.1,16:20,513.709281,400.0,94.87102,18.838261,0.0,0.0,0.0,0.0,0.0,57.848183,43.485266,57.848183,145.426865,0.0,0,0,0,0.0,1248.095,2.62153,0.998476,0.308415
15,ev_1250,ev,15,169,0->73->0,mandatory_split,301,13:01,500.1,16:20,513.70587,400.0,94.868174,18.837696,0.0,0.0,0.0,0.0,0.0,57.846448,43.48397,57.846448,145.426865,0.0,0,0,0,0.0,1247.8439,3.18236,0.998275,0.374395
